chapter	file	type	bytes
1.1	1.1.01-components-of-a-system.html	step-through	15133
1.1	1.1.02-request-lifecycle.html	step-through	25419
1.1	1.1.03-sync-vs-async.html	step-through	16700
1.1	1.1.04-where-session-state-lives.html	toggle-compare with step-through	14931
1.1	1.1.05-trust-boundaries.html	step-through	16096
1.2	1.2.01-architecture-spectrum.html	step-through	27553
1.2	1.2.02-deciding-factors.html	step-through mini-task	24859
1.2	1.2.03-operational-cost.html	step-through	15400
1.2	1.2.04-adr-builder.html	step-through with toggle comparison	18847
1.2	1.2.05-strangler-fig-migration.html	step-through	14674
1.3	1.3.01-business-brief.html	step-through reveal	16460
1.3	1.3.02-architecture-component-tour.html	toggle + click-to-reveal	20192
1.3	1.3.03-repo-map.html	click-to-reveal explorer	12565
1.3	1.3.04-platform-roadmap.html	step-through	16795
1.3	1.3.05-definition-of-done.html	pick-the-correct-answer	18546
2.1	2.1.01-latency-vs-throughput.html	slider-explore	13691
2.1	2.1.02-traffic-estimation-chain.html	slider	17074
2.1	2.1.03-growth-headroom-cost-of-scale.html	slider-chart	19483
2.1	2.1.04-latency-ladder.html	reveal-and-identify	18312
2.1	2.1.05-capacity-estimate.html	calculator	16911
2.2	2.2.01-read-write-paths.html	step-through	19185
2.2	2.2.02-bottleneck-vs-spof.html	toggle	11784
2.2	2.2.03-scaling-strategies.html	pick-the-right-answer	24357
2.2	2.2.04-queues-backpressure-load-shedding.html	simulation (toggle-to-compare)	23782
2.2	2.2.05-binding-constraint.html	step-through	18164
2.3	2.3.01-three-signals.html	pick-the-correct-answer	23081
2.3	2.3.02-context-propagation.html	toggle	14974
2.3	2.3.03-confirm-bottleneck-with-telemetry.html	pick-the-correct-answer	22892
2.3	2.3.04-four-golden-signals.html	toggle-compare	14835
2.3	2.3.05-pick-the-signal.html	scenario-picker	24094
2.3	2.3.06-signal-selector.html	pick-the-correct-answer	18279
3.1	3.1.01-modeling-resources.html	toggle-compare	14644
3.1	3.1.02-http-verbs-status-codes.html	explorer	24209
3.1	3.1.03-offset-vs-cursor-pagination.html	step-through-comparison	18743
3.1	3.1.04-designing-error-contracts.html	toggle-compare step-through	17897
3.1	3.1.05-idempotency.html	step-through	20497
3.2	3.2.01-what-breaks-a-consumer.html	pick-the-right-answer	18193
3.2	3.2.02-deprecation-lifecycle.html	step-through	16591
3.2	3.2.03-openapi-as-the-contract.html	toggle	12989
3.2	3.2.04-consumer-contract-testing.html	step-through-scenario	21153
3.3	3.3.01-fastapi-service-structure.html	step-through	16407
3.3	3.3.02-pydantic-validation.html	step-through + toggle	25145
3.3	3.3.03-status-codes-error-handling.html	toggle-compare	13462
3.3	3.3.04-test-levels.html	step-through scenario explorer	18906
4.1	4.1.01-rest-or-grpc.html	pick-the-correct-answer	21282
4.1	4.1.02-proto-contract.html	step-through + hover-to-reveal	27375
4.1	4.1.03-protobuf-evolution.html	step-through	22535
4.1	4.1.04-rpc-shapes.html	toggle	14628
4.1	4.1.05-grpc-vs-rest-boundaries.html	pick-the-correct-answer	19558
4.2	4.2.01-why-service-boundaries-are-hard.html	step-through	15568
4.2	4.2.02-bounded-contexts.html	sort-task	19934
4.2	4.2.03-context-mapping-acl.html	toggle+step-through	22875
4.2	4.2.04-aggregate-boundary.html	classify	14712
4.2	4.2.05-sync-vs-async.html	toggle-compare	15124
4.3	4.3.01-graphql-problems-solved.html	toggle	15314
4.3	4.3.02-graphql-n-plus-one.html	step-through	17580
4.3	4.3.03-protocol-per-boundary.html	quiz	19677
4.3	4.3.04-grpc-server-call-flow.html	step-through	25618
4.3	4.3.05-grpc-error-mapping.html	toggle-comparison	13870
5.1	5.1.01-schema-design-access-patterns.html	step-through pick-the-right-answer	26022
5.1	5.1.02-normalization-constraints.html	toggle + step-through	25952
5.1	5.1.03-transactions-acid.html	step-through	22152
5.1	5.1.04-isolation-levels-anomalies.html	step-through	21241
5.1	5.1.05-query-plans-indexing.html	toggle-compare	14471
5.2	5.2.01-nosql-families.html	pick-the-right-answer	20070
5.2	5.2.02-strong-vs-eventual-consistency.html	step-through	21769
5.2	5.2.03-sql-vs-nosql-access-patterns.html	pick-the-answer	19154
5.2	5.2.04-embed-vs-reference.html	scenario-picker	15108
5.2	5.2.05-partition-key-hot.html	step-through / toggle comparison	17611
5.3	5.3.01-expand-contract.html	step-through	20911
5.3	5.3.02-repository-pattern.html	step-through	19814
5.3	5.3.03-n-plus-one-queries.html	step-through / toggle-compare	13778
5.3	5.3.04-mock-vs-integration.html	step-through	15659
6.1	6.1.01-replication-primary-replicas.html	step-through	17173
6.1	6.1.02-sync-vs-async-replication.html	step-through process	19365
6.1	6.1.03-route-the-query.html	pick-the-right-answer	20523
6.1	6.1.04-replication-lag-read-your-writes.html	step-through + strategy picker	20581
6.1	6.1.05-classify-reads-by-freshness.html	pick-correct-answer	18807
6.2	6.2.01-why-and-when-to-shard.html	scenario-compare	16792
6.2	6.2.02-hash-vs-range-partitioning.html	toggle-compare	17456
6.2	6.2.03-shard-key-query-routing.html	toggle	15452
6.2	6.2.04-hot-keys-uneven-distribution.html	toggle-compare	16755
6.2	6.2.05-resharding-vs-consistent-hashing.html	toggle-compare	14759
6.3	6.3.01-cache-aside-ttls-invalidation.html	step-through	20097
6.3	6.3.02-cache-stampede.html	toggle-step-through	20786
6.3	6.3.03-cache-classification.html	step-through decision tree	20865
6.3	6.3.04-pgvector-similarity-search.html	scatter-select	17321
